2014-11-16 19:53:51,2014-12-02,2015-01-11,1135,57600.0,21906.0
2014-11-16 19:54:03,2014-12-02,2015-01-12,1092,59040.0,21906.0
2014-11-16 19:54:16,2014-12-02,2015-01-13,906,60480.0,21906.0
2014-11-16 19:54:31,2014-12-02,2015-01-14,1060,61920.0,21905.0
2014-11-16 19:54:45,2014-12-02,2015-01-15,906,63360.0,21905.0
2014-11-16 19:55:01,2014-12-02,2015-01-16,906,64800.0,21905.0
2014-11-16 19:55:16,2014-12-02,2015-01-17,906,66240.0,21905.0
2014-11-16 19:55:29,2014-12-02,2015-01-18,874,67680.0,21905.0
2014-11-16 19:55:42,2014-12-02,2015-01-19,1060,69120.0,21904.0
2014-11-16 19:55:55,2014-12-02,2015-01-20,874,70560.0,21904.0
2014-11-16 19:56:08,2014-12-02,2015-01-21,1060,72000.0,21904.0
2014-11-16 19:56:20,2014-12-02,2015-01-22,906,73440.0,21904.0
2014-11-16 19:56:35,2014-12-02,2015-01-23,906,74880.0,21903.0
2014-11-16 19:56:50,2014-12-02,2015-01-24,906,76320.0,21903.0
2014-11-16 19:57:03,2014-12-02,2015-01-25,874,77760.0,21903.0
2014-11-16 19:57:17,2014-12-02,2015-01-26,1060,79200.0,21903.0
2014-11-16 19:57:29,2014-12-02,2015-01-27,906,80640.0,21903.0
2014-11-16 19:57:43,2014-12-02,2015-01-28,999,82080.0,21902.0
2014-11-16 19:57:56,2014-12-02,2015-01-29,976,83520.0,21902.0
2014-11-16 19:58:11,2014-12-02,2015-01-30,906,84960.0,21902.0
2014-11-16 19:58:25,2014-12-02,2015-01-31,906,86400.0,21902.0
2014-11-16 19:58:40,2014-12-03,2015-01-01,1076,41760.0,23341.0
2014-11-16 19:58:53,2014-12-03,2015-01-02,1306,43200.0,23341.0
2014-11-16 19:59:07,2014-12-03,2015-01-03,1283,44640.0,23341.0
2014-11-16 19:59:20,2014-12-03,2015-01-04,1345,46080.0,23341.0
2014-11-16 19:59:33,2014-12-03,2015-01-05,1220,47520.0,23340.0
2014-11-16 19:59:45,2014-12-03,2015-01-06,1111,48960.0,23340.0
2014-11-16 19:59:59,2014-12-03,2015-01-07,1111,50400.0,23340.0
2014-11-16 20:00:13,2014-12-03,2015-01-08,1182,51840.0,23340.0
2014-11-16 20:00:27,2014-12-03,2015-01-09,1111,53280.0,23340.0
2014-11-16 20:00:40,2014-12-03,2015-01-10,1175,54720.0,23339.0
2014-11-16 20:01:01,2014-12-03,2015-01-11,1053,56160.0,23339.0
2014-11-16 20:01:32,2014-12-03,2015-01-13,929,59040.0,23338.0
2014-11-16 20:01:46,2014-12-03,2015-01-14,929,60480.0,23338.0
2014-11-16 20:02:03,2014-12-03,2015-01-15,1021,61920.0,23338.0
2014-11-16 20:02:15,2014-12-03,2015-01-16,1021,63360.0,23338.0
2014-11-16 20:02:29,2014-12-03,2015-01-17,1021,64800.0,23338.0
2014-11-16 20:02:43,2014-12-03,2015-01-18,776,66240.0,23337.0
2014-11-16 20:02:58,2014-12-03,2015-01-19,929,67680.0,23337.0
2014-11-16 20:03:10,2014-12-03,2015-01-20,776,69120.0,23337.0
2014-11-16 20:03:24,2014-12-03,2015-01-21,776,70560.0,23337.0
2014-11-16 20:03:36,2014-12-03,2015-01-22,929,72000.0,23336.0
2014-11-16 20:03:50,2014-12-03,2015-01-23,776,73440.0,23336.0
2014-11-16 20:04:04,2014-12-03,2015-01-24,966,74880.0,23336.0
2014-11-16 20:04:16,2014-12-03,2015-01-25,776,76320.0,23336.0
2014-11-16 20:04:28,2014-12-03,2015-01-26,929,77760.0,23336.0
2014-11-16 20:04:41,2014-12-03,2015-01-27,776,79200.0,23335.0
2014-11-16 20:04:54,2014-12-03,2015-01-28,776,80640.0,23335.0
2014-11-16 20:05:08,2014-12-03,2015-01-29,991,82080.0,23335.0
2014-11-16 20:05:21,2014-12-03,2015-01-30,776,83520.0,23335.0
2014-11-16 20:05:35,2014-12-03,2015-01-31,929,84960.0,23334.0
2014-11-16 20:05:52,2014-12-04,2015-01-01,1002,40320.0,24774.0
2014-11-16 20:06:07,2014-12-04,2015-01-02,1314,41760.0,24774.0
2014-11-16 20:06:20,2014-12-04,2015-01-03,1002,43200.0,24774.0
2014-11-16 20:06:33,2014-12-04,2015-01-04,1320,44640.0,24773.0
2014-11-16 20:06:48,2014-12-04,2015-01-05,1195,46080.0,24773.0
2014-11-16 20:07:01,2014-12-04,2015-01-06,1119,47520.0,24773.0
2014-11-16 20:07:15,2014-12-04,2015-01-07,1119,48960.0,24773.0
2014-11-16 20:07:28,2014-12-04,2015-01-08,979,50400.0,24773.0
2014-11-16 20:07:45,2014-12-04,2015-01-09,1119,51840.0,24772.0
2014-11-16 20:07:59,2014-12-04,2015-01-10,1076,53280.0,24772.0
2014-11-16 20:08:11,2014-12-04,2015-01-11,1050,54720.0,24772.0
2014-11-16 20:08:24,2014-12-04,2015-01-12,1050,56160.0,24772.0
2014-11-16 20:08:37,2014-12-04,2015-01-13,942,57600.0,24771.0
2014-11-16 20:08:54,2014-12-04,2015-01-14,1060,59040.0,24771.0
2014-11-16 20:09:07,2014-12-04,2015-01-15,942,60480.0,24771.0
2014-11-16 20:09:20,2014-12-04,2015-01-16,942,61920.0,24771.0
